SitID	UWI (AGS)	UWI
111664	0794042007000	00/07-20-079-04W4/0
111667	0794042610000	00/10-26-079-04W4/0
111672	0794043310000	00/10-33-079-04W4/0
111675	0794050506000	00/06-05-079-05W4/0
142892	0794050908000	00/08-09-079-05W4/0
142895	0794052012000	00/12-20-079-05W4/0
111683	0794053110000	00/10-31-079-05W4/0
142899	0794060408000	00/08-04-079-06W4/0
111690	0794061206000	00/06-12-079-06W4/0
142906	0794062811000	00/11-28-079-06W4/0
142907	0794063207000	00/07-32-079-06W4/0
142910	0794070311000	00/11-03-079-07W4/0
111703	0794071110000	00/10-11-079-07W4/0
111706	0794072510000	00/10-25-079-07W4/0
111723	0794073311000	00/11-33-079-07W4/0
111724	0794080810AA0	AA/10-08-079-08W4/0
111726	0794081210000	00/10-12-079-08W4/0
111727	0794081412000	00/12-14-079-08W4/0
111728	0794082610AA0	AA/10-26-079-08W4/0
111730	0794090306000	00/06-03-079-09W4/0
111731	0794091106000	00/06-11-079-09W4/0
111732	0794091610000	00/10-16-079-09W4/0
111733	0794093610AA0	AA/10-36-079-09W4/0
111735	0794102607000	00/07-26-079-10W4/0
154004	0794102910000	00/10-29-079-10W4/0
111739	0794112911000	00/11-29-079-11W4/0
111741	0794113111000	00/11-31-079-11W4/0
178517	0794113612000	00/12-36-079-11W4/0
111743	0794121110AA0	AA/10-11-079-12W4/0
111747	0794121811000	00/11-18-079-12W4/0
111751	0794123211000	00/11-32-079-12W4/0
111752	0794123511000	00/11-35-079-12W4/0
111753	0794130107000	00/07-01-079-13W4/0
111754	0794130810AA0	AA/10-08-079-13W4/0
111757	0794131816000	00/16-18-079-13W4/0
111761	0794133105000	00/05-31-079-13W4/0
111763	0794140810AA0	AA/10-08-079-14W4/0
111764	0794141010AA0	AA/10-10-079-14W4/0
178521	0794141201000	00/01-12-079-14W4/0
178522	0794142312000	00/12-23-079-14W4/0
111769	0794150911000	00/11-09-079-15W4/0
111770	0794151109AA0	AA/09-11-079-15W4/0
111771	0794152610AA0	AA/10-26-079-15W4/0
111772	0794152806000	00/06-28-079-15W4/0
111773	0794160110000	00/10-01-079-16W4/0
111775	0794161606000	00/06-16-079-16W4/0
178524	0794162416000	00/16-24-079-16W4/0
111780	0794173305000	00/05-33-079-17W4/0
111781	0794181206000	00/06-12-079-18W4/0
111782	0794183411000	00/11-34-079-18W4/0
111783	0794190204000	00/04-02-079-19W4/0
111784	0794191807000	00/07-18-079-19W4/0
111785	0794192910000	00/10-29-079-19W4/0
111786	0794193510000	00/10-35-079-19W4/0
111787	0794211205000	00/05-12-079-21W4/0
111788	0794211606000	00/06-16-079-21W4/0
111795	0794213210000	00/10-32-079-21W4/0
111798	0794213607000	00/07-36-079-21W4/0
111800	0794221414000	00/14-14-079-22W4/0
111802	0794222107000	00/07-21-079-22W4/0
164300	0794222315000	00/15-23-079-22W4/0
111805	0794222912AA0	AA/12-29-079-22W4/0
111807	0794230206000	00/06-02-079-23W4/0
111809	0794231304020	02/04-13-079-23W4/0
154011	0794232304000	00/04-23-079-23W4/0
154013	0794232701000	00/01-27-079-23W4/0
111811	0794240107000	00/07-01-079-24W4/0
111813	0794240610000	00/10-06-079-24W4/0
111814	0794241607000	00/07-16-079-24W4/0
111817	0794250410000	00/10-04-079-25W4/0
111819	0794251211000	00/11-12-079-25W4/0
111821	0794252306000	00/06-23-079-25W4/0
111822	0794253307AA0	AA/07-33-079-25W4/0
111824	0794262607000	00/07-26-079-26W4/0
111825	0795010110000	00/10-01-079-01W5/0
111826	0795010706000	00/06-07-079-01W5/0
164301	0795012509000	00/09-25-079-01W5/0
111828	0795012710000	00/10-27-079-01W5/0
111829	0795021407000	00/07-14-079-02W5/0
111830	0795023206000	00/06-32-079-02W5/0
178525	0795031406000	00/06-14-079-03W5/0
111831	0795031811000	00/11-18-079-03W5/0
111832	0795033407000	00/07-34-079-03W5/0
111833	0795042711000	00/11-27-079-04W5/0
111834	0795043002000	00/02-30-079-04W5/0
154104	0804032507000	00/07-25-080-03W4/0
112280	0804033406000	00/06-34-080-03W4/0
112282	0804040910000	00/10-09-080-04W4/0
112284	0804041010000	00/10-10-080-04W4/0
112287	0804042311000	00/11-23-080-04W4/0
112290	0804042907000	00/07-29-080-04W4/0
112292	0804050706000	00/06-07-080-05W4/0
112295	0804051516000	00/16-15-080-05W4/0
112299	0804052912000	00/12-29-080-05W4/0
112302	0804053614000	00/14-36-080-05W4/0
112303	0804060107000	00/07-01-080-06W4/0
112305	0804060607000	00/07-06-080-06W4/0
112311	0804062710000	00/10-27-080-06W4/0
112312	0804063011AA0	AA/11-30-080-06W4/0
112314	0804070206000	00/06-02-080-07W4/0
112317	0804072610AA0	AA/10-26-080-07W4/0
112318	0804072910AA0	AA/10-29-080-07W4/0
112319	0804073203000	00/03-32-080-07W4/0
178589	0804081103000	00/03-11-080-08W4/0
112323	0804081410000	00/10-14-080-08W4/0
112324	0804082607AA0	AA/07-26-080-08W4/0
112325	0804082910AA0	AA/10-29-080-08W4/0
112328	0804090806000	00/06-08-080-09W4/0
112329	0804091110000	00/10-11-080-09W4/0
112330	0804092610AA0	AA/10-26-080-09W4/0
112331	0804092910000	00/10-29-080-09W4/0
112332	0804100807AA0	AA/07-08-080-10W4/0
112333	0804101015000	00/15-10-080-10W4/0
112335	0804102607AA0	AA/07-26-080-10W4/0
178594	0804110405000	00/05-04-080-11W4/0
112337	0804111110AA0	AA/10-11-080-11W4/0
154107	0804111505000	00/05-15-080-11W4/0
112339	0804112607AA0	AA/07-26-080-11W4/0
112340	0804120306000	00/06-03-080-12W4/0
112341	0804120606000	00/06-06-080-12W4/0
178601	0804121405000	00/05-14-080-12W4/0
164434	0804122607000	00/07-26-080-12W4/0
112344	0804130208000	00/08-02-080-13W4/0
178604	0804130901000	00/01-09-080-13W4/0
112347	0804132005000	00/05-20-080-13W4/0
112349	0804132310000	00/10-23-080-13W4/0
112350	0804132902000	00/02-29-080-13W4/0
112352	0804140310000	00/10-03-080-14W4/0
112355	0804141507000	00/07-15-080-14W4/0
112356	0804142010000	00/10-20-080-14W4/0
112357	0804142610AA0	AA/10-26-080-14W4/0
112358	0804142701000	00/01-27-080-14W4/0
112359	0804150510000	00/10-05-080-15W4/0
112361	0804151110AA0	AA/10-11-080-15W4/0
112362	0804151711000	00/11-17-080-15W4/0
112366	0804161211000	00/11-12-080-16W4/0
112368	0804161810000	00/10-18-080-16W4/0
112369	0804162611000	00/11-26-080-16W4/0
112371	0804162911000	00/11-29-080-16W4/0
112373	0804172811000	00/11-28-080-17W4/0
112374	0804173406000	00/06-34-080-17W4/0
112376	0804182412000	00/12-24-080-18W4/0
112377	0804182710000	00/10-27-080-18W4/0
112378	0804183506000	00/06-35-080-18W4/0
112380	0804191111000	00/11-11-080-19W4/0
112381	0804191310000	00/10-13-080-19W4/0
112382	0804193615000	00/15-36-080-19W4/0
112383	0804201810000	00/10-18-080-20W4/0
112385	0804203210000	00/10-32-080-20W4/0
112386	0804203510000	00/10-35-080-20W4/0
112387	0804210801000	00/01-08-080-21W4/0
112388	0804210911000	00/11-09-080-21W4/0
112391	0804220104000	00/04-01-080-22W4/0
